intron	logef	control	epileptic	deltapsi
chr1:4774516:4777525:clu_1091_NA	-0.078229295377881	0.0186777433863672	0.0160159139771536	-0.00266182940921366
chr1:4776801:4777525:clu_1091_NA	0.078229295377881	0.981322256613633	0.983984086022846	0.00266182940921367
chr1:4777648:4778748:clu_1092_NA	0.247612586132401	0.0140191166927232	0.0298727263255839	0.0158536096328607
chr1:4777648:4782568:clu_1092_NA	-0.546889403741501	0.963227591622437	0.927332100993278	-0.0358954906291595
chr1:4778798:4782568:clu_1092_NA	-0.284424450974925	0.014480330481702	0.0181247461977701	0.00364441571606808
chr1:4782301:4782568:clu_1092_NA	0.583701268584024	0.00827296120313781	0.0246704264833683	0.0163974652802305
chr1:4837074:4839387:clu_1093_NA	-0.0366917311619767	0.498835080157202	0.472192011574709	-0.0266430685824925
chr1:4837074:4840956:clu_1093_NA	-0.0357162485643827	0.011783570408465	0.0111650891742903	-0.000618481234174635
chr1:4839488:4840956:clu_1093_NA	0.0724079797263594	0.489381349434333	0.516642899251001	0.0272615498166672
chr1:4912548:4916825:clu_1094_NA	-0.0867728179107399	0.0476875555289748	0.0403968368464684	-0.00729071868250636
chr1:4912548:4916897:clu_1094_NA	0.0867728179107399	0.952312444471025	0.959603163153532	0.00729071868250641
chr1:4923989:5019311:clu_1095_NA	-0.30809351100797	0.765572057400842	0.638137173994664	-0.127434883406178
chr1:4923989:5020738:clu_1095_NA	0.30809351100797	0.234427942599158	0.361862826005336	0.127434883406178
chr1:5083278:5084417:clu_1096_NA	0.144787962926522	0.796210070140355	0.839208309107236	0.0429982389668807
chr1:5083625:5084417:clu_1096_NA	-0.144787962926522	0.203789929859645	0.160791690892764	-0.0429982389668808
chr1:5089111:5093363:clu_1097_NA	-0.138299775065291	0.563925836855579	0.556465788533587	-0.00746004832199154
chr1:5089111:5095615:clu_1097_NA	0.254734733308943	0.00819924999266054	0.011986249753643	0.00378699976098248
chr1:5093452:5095615:clu_1097_NA	-0.116434958243652	0.427874913151761	0.43154796171277	0.00367304856100897
chr1:5098133:5101070:clu_1098_NA	0.101355423328573	0.0732689409749961	0.0963064549514782	0.0230375139764822
chr1:5098133:5117390:clu_1098_NA	-0.232949768154792	0.85008314190962	0.799852646687793	-0.0502304952218271
chr1:5101123:5117390:clu_1098_NA	0.13159434482622	0.0766479171153841	0.103840898360729	0.0271929812453451
chr1:6265621:6265722:clu_1099_NA	-0.0395794185947621	0.0961196220592832	0.0841750385477453	-0.0119445835115379
chr1:6265621:6268698:clu_1099_NA	0.124186010418123	0.818584102916452	0.844417058037749	0.0258329551212966
chr1:6265775:6268698:clu_1099_NA	-0.0846065918233605	0.0852962750242648	0.0714079034145061	-0.0138883716097587
chr1:6730240:6737580:clu_1100_NA	-0.0764518337818998	0.118472853590607	0.120883480656166	0.00241062706555842
chr1:6730240:6752296:clu_1100_NA	-0.183753159640617	0.0660930737358873	0.0605764311210726	-0.00551664261481466
chr1:6730240:6752994:clu_1100_NA	-0.435680910985493	0.430277147359337	0.306538608675791	-0.123738538683546
chr1:6734972:6752994:clu_1100_NA	-0.0997787478254168	0.0648099271810703	0.0646039229659418	-0.000206004215128563
chr1:6737657:6752296:clu_1100_NA	0.470216616571895	0.0594456615287369	0.104781198814837	0.0453355372861001
chr1:6737657:6752994:clu_1100_NA	-0.0120077776255395	0.131986564581872	0.143636736807121	0.0116501722252494
chr1:6752368:6752994:clu_1100_NA	0.337455813287071	0.128914772022489	0.198979620959071	0.0700648489365816
chr1:7089216:7120194:clu_1101_NA	0.0575623662456641	0.306105113853779	0.311204155686309	0.00509904183252941
chr1:7089216:7147637:clu_1101_NA	-0.0948480758748065	0.0202544240357174	0.0176808722630988	-0.00257355177261865
chr1:7120615:7147637:clu_1101_NA	0.0372857096291423	0.673640462110503	0.671114972050593	-0.00252549005991065
chr1:7147739:7155080:clu_1102_NA	0.0451567556674314	0.0119775670249916	0.0103442294745854	-0.00163333755040628
chr1:7147739:7160892:clu_1102_NA	0.20006573601696	0.969798143385819	0.977883234189487	0.00808509080366837
chr1:7155271:7160892:clu_1102_NA	-0.245222491684391	0.0182242895891894	0.0117725363359273	-0.00645175325326208
chr1:7163371:7166309:clu_1103_NA	0.181374454057736	0.022201609222972	0.0270745223224073	0.00487291309943531
chr1:7163371:7169515:clu_1103_NA	-0.0125627637591535	0.913972339223267	0.918086365216145	0.00411402599287802
chr1:7166518:7169515:clu_1103_NA	-0.168811690298582	0.0638260515537612	0.0548391124614478	-0.00898693909231337
chr1:8363542:8414203:clu_1104_NA	-0.23459891414502	0.089780427927842	0.0581118632515085	-0.0316685646763335
chr1:8363633:8414203:clu_1104_NA	0.23459891414502	0.910219572072158	0.941888136748492	0.0316685646763336
